pin,slack
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[4]:P,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[4]:UB,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[4]:Y,13497
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/un1_framesync_1_1.CO0:A,11725
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/un1_framesync_1_1.CO0:B,14069
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/un1_framesync_1_1.CO0:Y,11725
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_130:IPB,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_152:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_152:IPB,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_277:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_277:IPB,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_206:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_206:IPB,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[3]:A,13737
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[3]:B,13684
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[3]:C,15140
